dataset,index,method,rise,mas,recall
niah_mq_q2,80,DT,0.13557142857142856,0.177173958172511,0.475
niah_mq_q2,80,FT_K1,0.10642857142857143,0.2624594380370623,0.375
niah_mq_q2,80,FT_K3,,,0.4
niah_mq_q2,81,DT,0.15142487046632125,0.1932189578987288,0.48717948717948717
niah_mq_q2,81,FT_K1,0.14132124352331607,0.2576989365229637,0.28205128205128205
niah_mq_q2,81,FT_K3,,,0.3076923076923077
niah_mq_q2,82,DT,0.12695530726256982,0.16203246999981658,0.5
niah_mq_q2,82,FT_K1,0.12639664804469272,0.27333110029425567,0.3157894736842105
niah_mq_q2,82,FT_K3,,,0.3157894736842105
niah_mq_q2,83,DT,0.16751336898395724,0.21626074674924528,0.5
niah_mq_q2,83,FT_K1,0.12927807486631016,0.25778196871958337,0.275
niah_mq_q2,83,FT_K3,,,0.275
niah_mq_q2,84,DT,0.045,0.06593124813622377,1.0
niah_mq_q2,84,FT_K1,0.039925373134328354,0.23997016645884078,0.7894736842105263
niah_mq_q2,84,FT_K3,,,0.8157894736842105
niah_mq_q2,85,DT,0.07653061224489795,0.09838714285204922,1.0
niah_mq_q2,85,FT_K1,0.08903061224489792,0.23140820553797323,0.8108108108108109
niah_mq_q2,85,FT_K3,,,0.8378378378378378
niah_mq_q2,86,DT,0.11705882352941174,0.14274623843409256,0.48717948717948717
niah_mq_q2,86,FT_K1,0.10970588235294118,0.2619696488382327,0.358974358974359
niah_mq_q2,86,FT_K3,,,0.358974358974359
niah_mq_q2,87,DT,0.03984375,0.05450175057059893,1.0
niah_mq_q2,87,FT_K1,0.05104166666666667,0.23194541104324995,0.7567567567567568
niah_mq_q2,87,FT_K3,,,0.7837837837837838
niah_mq_q2,88,DT,0.048626373626373634,0.0814662099952224,1.0
niah_mq_q2,88,FT_K1,0.047527472527472525,0.23762915210948146,0.7837837837837838
niah_mq_q2,88,FT_K3,,,0.8108108108108109
niah_mq_q2,89,DT,0.10842857142857143,0.12704868688975487,0.475
niah_mq_q2,89,FT_K1,0.11842857142857144,0.2684817221946211,0.175
niah_mq_q2,89,FT_K3,,,0.25
niah_mq_q2,90,DT,0.12073863636363638,0.1589242087029639,0.5
niah_mq_q2,90,FT_K1,0.11676136363636362,0.26546304410178595,0.3684210526315789
niah_mq_q2,90,FT_K3,,,0.3684210526315789
niah_mq_q2,91,DT,0.1453030303030303,0.18375044111452596,0.525
niah_mq_q2,91,FT_K1,0.10681818181818184,0.27332966177827206,0.35
niah_mq_q2,91,FT_K3,,,0.35
niah_mq_q2,92,DT,0.04676165803108808,0.06322460101272542,1.0
niah_mq_q2,92,FT_K1,0.0483160621761658,0.24070240898490947,0.7692307692307693
niah_mq_q2,92,FT_K3,,,0.7948717948717948
niah_mq_q2,93,DT,0.11892265193370166,0.15203030023506506,0.5945945945945946
niah_mq_q2,93,FT_K1,0.10732044198895027,0.2662103747881637,0.32432432432432434
niah_mq_q2,93,FT_K3,,,0.35135135135135137
niah_mq_q2,94,DT,0.15905797101449273,0.1712789730739444,0.5263157894736842
niah_mq_q2,94,FT_K1,0.19867149758454108,0.2669030434454419,0.2894736842105263
niah_mq_q2,94,FT_K3,,,0.2894736842105263
