dataset,index,method,recall,rise,mas
vt_h2_c3,43,ifr-tokenwise,0.7333333333333333,0.16671597633136095,0.24079213395812663
vt_h2_c3,43,FT_K3,0.6,,
vt_h2_c3,44,DT,0.7419354838709677,0.10306267806267806,0.12207934784859682
vt_h2_c3,44,FT_K1,0.6774193548387096,0.15049857549857554,0.23408978706845768
vt_h2_c3,44,ifr-tokenwise,0.7419354838709677,0.1673076923076923,0.2439271097239545
vt_h2_c3,44,FT_K3,0.6774193548387096,,
vt_h2_c3,45,DT,0.9,0.14330985915492958,0.1807899130770707
vt_h2_c3,45,FT_K1,0.7666666666666667,0.11889671361502348,0.19730591292248234
vt_h2_c3,45,ifr-tokenwise,0.8333333333333334,0.11561032863849766,0.17980880178992087
vt_h2_c3,45,FT_K3,0.7666666666666667,,
vt_h2_c3,46,DT,0.75,0.10957142857142858,0.12227371744620663
vt_h2_c3,46,FT_K1,0.75,0.15614285714285717,0.2380604729424502
vt_h2_c3,46,ifr-tokenwise,0.7857142857142857,0.16599999999999998,0.23686270385286723
vt_h2_c3,46,FT_K3,0.75,,
vt_h2_c3,47,DT,0.6923076923076923,0.11767241379310345,0.13972621560448945
vt_h2_c3,47,FT_K1,0.6538461538461539,0.16163793103448276,0.24082629742907308
vt_h2_c3,47,ifr-tokenwise,0.7692307692307693,0.16968390804597702,0.24682876908737245
vt_h2_c3,47,FT_K3,0.6538461538461539,,
vt_h2_c3,48,DT,0.8928571428571429,0.11947513812154698,0.13494641085374565
vt_h2_c3,48,FT_K1,0.7857142857142857,0.16988950276243092,0.24555589682899653
vt_h2_c3,48,ifr-tokenwise,0.8571428571428571,0.18715469613259667,0.27066150422883767
vt_h2_c3,48,FT_K3,0.7857142857142857,,
vt_h2_c3,49,DT,0.7857142857142857,0.1416281755196305,0.1761396630871376
vt_h2_c3,49,FT_K1,0.5714285714285714,0.12084295612009237,0.1797823437248983
vt_h2_c3,49,ifr-tokenwise,0.6785714285714286,0.12915704387990762,0.17195229110647087
vt_h2_c3,49,FT_K3,0.5714285714285714,,
vt_h2_c3,50,DT,0.76,0.13314977973568282,0.16179501095277
vt_h2_c3,50,FT_K1,0.72,0.13755506607929516,0.20519308698749464
vt_h2_c3,50,ifr-tokenwise,0.76,0.13557268722466959,0.17886429809480905
vt_h2_c3,50,FT_K3,0.72,,
vt_h2_c3,51,DT,0.7407407407407407,0.10500000000000001,0.11414749506225463
vt_h2_c3,51,FT_K1,0.6296296296296297,0.15500000000000003,0.2287933876543499
vt_h2_c3,51,ifr-tokenwise,0.8148148148148148,0.16485915492957748,0.24028089729059934
vt_h2_c3,51,FT_K3,0.6296296296296297,,
vt_h2_c3,52,DT,0.6896551724137931,0.10563583815028901,0.12448760930236968
vt_h2_c3,52,FT_K1,0.7586206896551724,0.1533236994219653,0.2291667051746248
vt_h2_c3,52,ifr-tokenwise,0.7931034482758621,0.17182080924855495,0.2519866302282125
vt_h2_c3,52,FT_K3,0.7586206896551724,,
vt_h2_c3,53,DT,0.8214285714285714,0.14227272727272727,0.18902310256935087
