model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,niah_mq_q2_29_original_FT_K1,returned,16449673728,0.521738488227129,18379799040,24836571136,0,{}
qwen3,main,niah_mq_q2_29_FT_K1_original_metrics,returned,16449673728,2.2356572560966015,16859314688,24836571136,0,{}
qwen3,main,niah_mq_q2_29_original_FT_K3,returned,16449673728,0.8291490823030472,18379799040,24836571136,0,{}
qwen3,main,niah_mq_q2_30_DT,returned,16449674752,0.721122220158577,17998356992,25276973056,0,{}
qwen3,main,niah_mq_q2_30_DT_positive_original_metrics,returned,16449674752,2.131914984434843,16887272960,25276973056,0,{}
qwen3,main,niah_mq_q2_30_original_FT_K1,returned,16449674752,0.5472691133618355,18573446656,25276973056,0,{}
qwen3,main,niah_mq_q2_30_FT_K1_original_metrics,returned,16449674752,2.1535098776221275,16887272960,25276973056,0,{}
qwen3,main,niah_mq_q2_30_original_FT_K3,returned,16449674752,0.8688412606716156,18573446656,25276973056,0,{}
qwen3,main,niah_mq_q2_31_DT,returned,16449693696,1.1399368345737457,18680035328,25276973056,0,{}
qwen3,main,niah_mq_q2_31_DT_positive_original_metrics,returned,16449693696,4.829284925013781,17183278592,25276973056,0,{}
qwen3,main,niah_mq_q2_31_original_FT_K1,returned,16449693696,0.7800273261964321,21260752384,25276973056,0,{}
qwen3,main,niah_mq_q2_31_FT_K1_original_metrics,returned,16449693696,4.8247872814536095,17183278592,25276973056,0,{}
qwen3,main,niah_mq_q2_31_original_FT_K3,returned,16449693696,1.2466313652694225,21260752384,25276973056,0,{}
qwen3,main,niah_mq_q2_32_DT,returned,16449672704,0.6821357980370522,17816395776,25276973056,0,{}
qwen3,main,niah_mq_q2_32_DT_positive_original_metrics,returned,16449672704,2.0775157250463963,16853235712,25276973056,0,{}
qwen3,main,niah_mq_q2_32_original_FT_K1,returned,16449672704,0.5096606276929379,18353048576,25276973056,0,{}
qwen3,main,niah_mq_q2_32_FT_K1_original_metrics,returned,16449672704,2.0711474008858204,16853235712,25276973056,0,{}
qwen3,main,niah_mq_q2_32_original_FT_K3,returned,16449672704,0.8024180307984352,18353048576,25276973056,0,{}
qwen3,main,niah_mq_q2_33_DT,returned,16449695744,1.166685938835144,18722976768,25276973056,0,{}
qwen3,main,niah_mq_q2_33_DT_positive_original_metrics,returned,16449695744,4.602271694689989,17194829312,25276973056,0,{}
qwen3,main,niah_mq_q2_33_original_FT_K1,returned,16449695744,0.7834568507969379,21390471168,25276973056,0,{}
qwen3,main,niah_mq_q2_33_FT_K1_original_metrics,returned,16449695744,4.611307103186846,17194829312,25276973056,0,{}
qwen3,main,niah_mq_q2_33_original_FT_K3,returned,16449695744,1.2600698731839657,21390471168,25276973056,0,{}
qwen3,main,niah_mq_q2_34_DT,returned,16449671680,0.6676703169941902,17696990208,25276973056,0,{}
qwen3,main,niah_mq_q2_34_DT_positive_original_metrics,returned,16449671680,2.1190106198191643,16830139392,25276973056,0,{}
qwen3,main,niah_mq_q2_34_original_FT_K1,returned,16449671680,0.4714946486055851,18187338240,25276973056,0,{}
qwen3,main,niah_mq_q2_34_FT_K1_original_metrics,returned,16449671680,2.1130252927541733,16830139392,25276973056,0,{}
qwen3,main,niah_mq_q2_34_original_FT_K3,returned,16449671680,0.7488165460526943,18187338240,25276973056,0,{}
qwen3,main,niah_mq_q2_35_DT,returned,16449693696,1.1227743178606033,18639107584,25276973056,0,{}
qwen3,main,niah_mq_q2_35_DT_positive_original_metrics,returned,16449693696,4.743137579411268,17172339200,25276973056,0,{}
qwen3,main,niah_mq_q2_35_original_FT_K1,returned,16449693696,0.7637731581926346,21141280768,25276973056,0,{}
qwen3,main,niah_mq_q2_35_FT_K1_original_metrics,returned,16449693696,4.7624630481004715,17172339200,25276973056,0,{}
qwen3,main,niah_mq_q2_35_original_FT_K3,returned,16449693696,1.2196563854813576,21141280768,25276973056,0,{}
qwen3,main,niah_mq_q2_36_DT,returned,16449672704,0.6836596913635731,17767005184,25276973056,0,{}
qwen3,main,niah_mq_q2_36_DT_positive_original_metrics,returned,16449672704,2.063454732298851,16850804736,25276973056,0,{}
qwen3,main,niah_mq_q2_36_original_FT_K1,returned,16449672704,0.506845235824585,18333837824,25276973056,0,{}
qwen3,main,niah_mq_q2_36_FT_K1_original_metrics,returned,16449672704,2.0611259303987026,16850804736,25276973056,0,{}
qwen3,main,niah_mq_q2_36_original_FT_K3,returned,16449672704,0.7959843501448631,18333837824,25276973056,0,{}
qwen3,main,niah_mq_q2_37_DT,returned,16449670656,0.6474986709654331,17621799424,25276973056,0,{}
qwen3,main,niah_mq_q2_37_DT_positive_original_metrics,returned,16449670656,2.1353372745215893,16811297792,25276973056,0,{}
qwen3,main,niah_mq_q2_37_original_FT_K1,returned,16449670656,0.467143926769495,18069046784,25276973056,0,{}
qwen3,main,niah_mq_q2_37_FT_K1_original_metrics,returned,16449670656,2.1261697076261044,16811297792,25276973056,0,{}
qwen3,main,niah_mq_q2_37_original_FT_K3,returned,16449670656,0.7257903255522251,18069046784,25276973056,0,{}
qwen3,main,niah_mq_q2_38_DT,returned,16449696768,1.1526380889117718,18735129088,25276973056,0,{}
qwen3,main,niah_mq_q2_38_DT_positive_original_metrics,returned,16449696768,3.700632933527231,17198477824,25276973056,0,{}
qwen3,main,niah_mq_q2_38_original_FT_K1,returned,16449696768,0.7706957422196865,21434432512,25276973056,0,{}
qwen3,main,niah_mq_q2_38_FT_K1_original_metrics,returned,16449696768,3.7133053429424763,17198477824,25276973056,0,{}
qwen3,main,niah_mq_q2_38_original_FT_K3,returned,16449696768,1.2135123424232006,21434432512,25276973056,0,{}
qwen3,main,niah_mq_q2_39_DT,returned,16449673728,0.6976471357047558,17855606784,25276973056,0,{}
